[0.000000] (-) TimerEvent: {}
[0.000583] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.000763] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.000838] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.000874] (-) JobUnselected: {'identifier': 'columbus'}
[0.000936] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.000977] (-) JobUnselected: {'identifier': 'controller_manager_msgs'}
[0.001006] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.001038] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.001108] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.001125] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.001145] (-) JobUnselected: {'identifier': 'gpio_controllers'}
[0.001163] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.001178] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.001197] (-) JobUnselected: {'identifier': 'hardware_interface_testing'}
[0.001220] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.001235] (-) JobUnselected: {'identifier': 'joint_limits'}
[0.001257] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.001279] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.001296] (-) JobUnselected: {'identifier': 'mecanum_drive_controller'}
[0.001321] (-) JobUnselected: {'identifier': 'parallel_gripper_controller'}
[0.001338] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.001357] (-) JobUnselected: {'identifier': 'pose_broadcaster'}
[0.001378] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.001394] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.001415] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.001439] (-) JobUnselected: {'identifier': 'ros2_control_test_assets'}
[0.001456] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.001575] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.001647] (-) JobUnselected: {'identifier': 'ros2controlcli'}
[0.001674] (-) JobUnselected: {'identifier': 'rqt_controller_manager'}
[0.001694] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.001875] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.001892] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.001907] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.001921] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.001936] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.001953] (controller_manager) JobQueued: {'identifier': 'controller_manager', 'dependencies': OrderedDict([('controller_manager_msgs', '/home/jowi/dev_ws/install/controller_manager_msgs'), ('joint_limits', '/home/jowi/dev_ws/install/joint_limits'), ('ros2_control_test_assets', '/home/jowi/dev_ws/install/ros2_control_test_assets'), ('hardware_interface', '/home/jowi/dev_ws/install/hardware_interface'), ('controller_interface', '/home/jowi/dev_ws/install/controller_interface'), ('hardware_interface_testing', '/home/jowi/dev_ws/install/hardware_interface_testing')])}
[0.001987] (controller_manager) JobStarted: {'identifier': 'controller_manager'}
[0.015164] (controller_manager) JobEnded: {'identifier': 'controller_manager', 'rc': 1}
[0.025843] (-) EventReactorShutdown: {}
